Diddy - Dirty Money - Coming Home ft. Skylar Grey,https://www.youtube.com/watch?v=k-ImCpNqbJw,DirtyMoneyVEVO,2014-12-31 19:17:27,2010-11-30 16:36:58,True
[Drumstep] - Tristam & Braken - Flight [Monstercat Release],https://www.youtube.com/watch?v=OVMuwa-HRCQ,Monstercat Uncaged,2014-12-31 19:19:01,2013-02-15 22:02:27,True
Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official),https://www.youtube.com/watch?v=fiore9Z5iUg,Robin Schulz,2014-12-31 19:22:04,2014-05-20 13:59:30,True
Flux Pavilion - I Can't Stop,https://www.youtube.com/watch?v=3Q9rewnLFYw,UKF Dubstep,2014-12-31 19:23:12,2010-08-06 12:26:11,True
Elina Born - Miss Calculation (Official),https://www.youtube.com/watch?v=PxyLimYtxoU,Elina Born,2014-12-31 19:26:37,2013-11-17 18:28:41,True
Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,https://www.youtube.com/watch?v=SYM-RJwSGQ8,ToveLoVEVO,2014-12-31 19:27:12,2014-04-04 14:00:07,True
KDrew - Bullseye [100BPM],https://www.youtube.com/watch?v=kqjKOL0N8ks,Vital EDM,2014-12-31 19:27:46,2012-04-07 16:25:06,True
Meg & Dia - Monster (DotEXE Dubstep Remix),https://www.youtube.com/watch?v=-0oZNWif_jk,Vital EDM,2014-12-31 19:33:31,2011-10-05 18:34:15,True
Different Heaven & EH!DE - My Heart [NCS Release],https://www.youtube.com/watch?v=jK2aIUmmdP4,NoCopyrightSounds,2015-01-21 13:20:32,2013-11-13 17:43:42,True
KDrew - Circles (Original Mix),https://www.youtube.com/watch?v=L2NhfzcVmBA,KDrew,2015-01-24 20:55:01,2012-10-17 17:41:27,False
"Ariana Grande, The Weeknd - Love Me Harder",https://www.youtube.com/watch?v=g5qU7p7yOY8,ArianaGrandeVevo,2015-02-01 12:13:01,2014-11-03 08:00:05,True
Ariana Grande - Problem ft. Iggy Azalea,https://www.youtube.com/watch?v=iS1g8G_njx8,ArianaGrandeVevo,2015-02-01 12:15:52,2014-05-30 20:00:01,True
Ellie Goulding - Burn (Official Video),https://www.youtube.com/watch?v=CGyEd0aKWZE,EllieGouldingVEVO,2015-02-01 12:20:37,2013-07-07 23:00:13,True
Katy Perry - This Is How We Do (Official),https://www.youtube.com/watch?v=7RMQksXpQSk,KatyPerryVEVO,2015-02-01 12:26:42,2014-07-31 16:00:08,True
Katy Perry - Teenage Dream (Official Music Video),https://www.youtube.com/watch?v=98WtmW-lfeE,KatyPerryVEVO,2015-02-01 12:39:57,2010-08-10 19:32:36,True
Demi Lovato - Heart Attack (Official Video),https://www.youtube.com/watch?v=AByfaYcOm4A,DemiLovatoVEVO,2015-02-01 12:40:56,2013-04-09 23:00:07,True
Taylor Swift - I Knew You Were Trouble,https://www.youtube.com/watch?v=vNoKguSdy4Y,TaylorSwiftVEVO,2015-02-01 12:50:23,2012-12-14 22:15:07,True
James Arthur - Impossible (Official Video),https://www.youtube.com/watch?v=Mhj15W23IjA,JamesAVEVO,2015-02-01 12:51:09,2012-12-14 12:18:16,True
Cash Cash - Overtime,https://www.youtube.com/watch?v=85ftfVUTzM4,Proximity,2015-02-13 14:20:27,2013-01-08 01:22:12,True
Charli XCX - Break The Rules [Official Video],https://www.youtube.com/watch?v=ABhDiXbUaBE,Charli XCX,2015-02-24 18:52:37,2014-08-25 14:01:45,True
Ellie Goulding - Love Me Like You Do (Official Video),https://www.youtube.com/watch?v=AJtDXIazrMo,EllieGouldingVEVO,2015-03-05 16:05:41,2015-01-22 08:00:06,True
Galantis - Runaway (U & I) [Premiere],https://www.youtube.com/watch?v=szj59j0hz_4,Proximity,2015-03-30 17:52:11,2014-10-03 19:09:26,True
Lost Frequencies feat. Janieck Devy - Reality (Official Music Video),https://www.youtube.com/watch?v=ilw-qmqZ5zY,Armada Music TV,2015-08-02 15:42:49,2015-05-28 15:00:03,True
Madcon – Don’t Worry feat. Ray Dalton [Official Lyric Video],https://www.youtube.com/watch?v=qlPx6tmAIlM,Song des Tages,2015-08-02 15:43:23,2015-03-17 09:46:28,True
Dzeko & Torres ft. Delaney Jane - L'Amour Toujours (Tiësto Edit) [OUT NOW],https://www.youtube.com/watch?v=hY5way9lsTQ,Musical Freedom,2015-09-17 15:21:58,2015-09-08 19:18:54,True
L'Amour Toujour [Techno Remix],https://www.youtube.com/watch?v=3xXzLsr1j4E,IwanMaurerxXx,2015-09-20 07:01:03,2009-12-23 21:29:11,True
Macklemore - And We Danced (HQ),https://www.youtube.com/watch?v=4zLOoPOvyHU,UselezzUtuber,2015-10-14 18:21:07,2012-01-30 18:44:04,True
Dr. Kucho! & Gregor Salto ft. Ane Brun - Can't Stop Playing (Makes Me High) [Oliver Heldens Remix],https://www.youtube.com/watch?v=KSrOYPQiyFA,Spinnin' Records,2015-10-22 17:03:38,2015-01-10 17:39:14,True
VINAI - The Wave ft. Harrison (Official Video),https://www.youtube.com/watch?v=pJXOZWFnBfo,Spinnin' Records,2015-10-23 07:48:08,2015-07-20 19:00:01,True
ItaloBrothers - Sleep When Were Dead  (Extended Mix),https://www.youtube.com/watch?v=d3AFnht_rww,Knicklicht,2015-10-23 07:52:10,2015-09-01 12:52:12,True
Foxes - Body Talk (Bakermat Remix) (Audio),https://www.youtube.com/watch?v=YQbM0bvoFhw,FoxesVEVO,2015-10-23 07:54:31,2015-06-22 07:00:01,True
SEREBRO - KISS,https://www.youtube.com/watch?v=LwpJjYxl3Gw,MALFA,2015-10-23 07:55:07,2015-06-05 06:35:21,True
