title,link,channel name
Private video,https://www.youtube.com/watch?v=Thbsg9i2mZ0,removed?
Private video,https://www.youtube.com/watch?v=qQGTge3KRC0,removed?
Private video,https://www.youtube.com/watch?v=EFwIsrzDqMI,removed?
Deleted video,https://www.youtube.com/watch?v=zDaUMqy1UMk,removed?
Deleted video,https://www.youtube.com/watch?v=exDMA5YRH6A,removed?
Private video,https://www.youtube.com/watch?v=IJ2ROEs7_0Y,removed?
Private video,https://www.youtube.com/watch?v=JrD0woKEqVU,removed?
Deleted video,https://www.youtube.com/watch?v=cBQo-2SFHas,removed?
Deleted video,https://www.youtube.com/watch?v=9pqa1Y0pSMg,removed?
hanz zimmer S.T.A.Y (the r3belz bootleg),https://www.youtube.com/watch?v=QDGG8QoudpM,removed?
Deleted video,https://www.youtube.com/watch?v=uMKAJh9KZZ8,removed?
Private video,https://www.youtube.com/watch?v=2Rdu8Rn7UHY,removed?
Private video,https://www.youtube.com/watch?v=AfG1nuaIKNM,removed?
Zeus - Perfect,https://www.youtube.com/watch?v=jOqYC6haisI,removed?
Private video,https://www.youtube.com/watch?v=P60i5TdZNpo,removed?
Deleted video,https://www.youtube.com/watch?v=nxtHFthK3Ec,removed?
Private video,https://www.youtube.com/watch?v=6uRtYNmDgX0,removed?
Private video,https://www.youtube.com/watch?v=y9y4Hay38UE,removed?
Deleted video,https://www.youtube.com/watch?v=zMMERHNI4M8,removed?
Private video,https://www.youtube.com/watch?v=MSgnf-tBN9s,removed?
Deleted video,https://www.youtube.com/watch?v=1ER67r8OCW8,removed?
Aftergeneration - Calling (Hardstyle),https://www.youtube.com/watch?v=-QN7sw2G0Us,removed?
Deleted video,https://www.youtube.com/watch?v=oAlRtCyr0sQ,removed?
Deleted video,https://www.youtube.com/watch?v=s8P2AFGvc7g,removed?
Deleted video,https://www.youtube.com/watch?v=BGP5bGIPErQ,removed?
Deleted video,https://www.youtube.com/watch?v=uD1d7CKfRuE,removed?
Fragma - Everitime you need me,https://www.youtube.com/watch?v=4XdkNzxfZ-M,removed?
Private video,https://www.youtube.com/watch?v=FM7sZA2f13g,removed?
Private video,https://www.youtube.com/watch?v=9qWzam89PeI,removed?
Private video,https://www.youtube.com/watch?v=n4KrOOm8Nj8,removed?
Deleted video,https://www.youtube.com/watch?v=ypTYsCr495g,removed?
Private video,https://www.youtube.com/watch?v=gOTyD6ZYcP0,removed?
Siria - I Will Believe It,https://www.youtube.com/watch?v=8QvvY5zfeII,removed?
Deleted video,https://www.youtube.com/watch?v=ql-d7NJ9_1o,removed?
Private video,https://www.youtube.com/watch?v=X7ZsUcjdlNA,removed?
Private video,https://www.youtube.com/watch?v=QKXiD6yPqSE,removed?
nero - must be the feeling (flux pavilion remix),one of these links?,removed?
nero - promises (skrillex remix), one of these links?,removed?
